Company Name,Ticker,No of Shares,Basis,Current Price,Current Value,Portfolio Weight,Unrealized Gain,6/21/2021,12/31/21,Period Return,$ Change,,Basis,2/23/22,Period Return,$ Change,,Pos.,Sorted by highest pnl,Sorted by portfolio weight,(sorted by order of stocks at far left column),,Sector/Asset Class,Amount,Weight
Apple,AAPL,935,"123,563.06",160.07,"149,665.45",11.91%,21.12%,"123,700.50","166,027.95",34.22%,"42,327.45",132.15,"123,563.06","149,665.45",21.12%,"26,102.39",,1,Apple,Apple,Technology,132302.5,Basic Materials/Resources,11248.27,0.91%
Amazon,AMZN,4,"6,534.67","2,896.54","11,586.16",0.92%,77.30%,"13,815.84","13,337.36",-3.46%,-478.48,1633.67,"6,534.67","11,586.16",77.30%,"5,051.49",,2,iPath Aluminum,Microsoft,Retail/Wholesale,13140.16,Bonds,30018.56,2.43%
Alibaba,BABA,52,"10,995.52",109.72,"5,705.44",0.45%,-48.11%,"10,975.12","6,177.08",-43.72%,"-4,798.04",211.45,"10,995.52","5,705.44",-48.11%,"-5,290.08",,3,Microsoft,Taiwan Semiconductor,Retail/Wholesale,7698.6,Cash,7000,0.57%
BlackRock,BLK,13,"9,883.17",732.49,"9,522.37",0.76%,-3.65%,"11,196.38","11,902.28",6.30%,705.90,760.24,"9,883.17","9,522.37",-3.65%,-360.80,,4,Taiwan Semiconductor,Aberdeen Precious Metals,Financial Services,10902.58,Commodities,215216.03,17.42%
Canon,CAJ,470,"11,040.30",23.70,"11,139.00",0.89%,0.89%,"11,040.30","11,482.10",4.00%,441.80,23.49,"11,040.30","11,139.00",0.89%,98.70,,5,Amazon,iPath Aluminum,Technology,11458.6,Consumer Goods,76735.81,6.21%
Centene,CNC,153,"10,321.85",81.35,"12,446.55",0.99%,20.58%,"11,042.01","12,607.20",14.17%,"1,565.19",67.46,"10,321.85","12,446.55",20.58%,"2,124.70",,6,Virtu,Renewable Energy Group,Healthcare/Life Sciences,9533.43,Energy,96534.6,7.81%
Salesforce,CRM,46,"11,245.04",190.54,"8,764.84",0.70%,-22.06%,"11,246.08","11,689.98",3.95%,443.90,244.46,"11,245.04","8,764.84",-22.06%,"-2,480.20",,7,US Oil - 12 month,JinkoSolar,Technology,12476.12,Financial Services,76187.82,6.17%
CVS,CVS,131,"11,020.55",102.24,"13,393.44",1.07%,21.53%,"11,006.62","13,513.96",22.78%,"2,507.34",84.13,"11,020.55","13,393.44",21.53%,"2,372.89",,8,MP Materials,D.R. Horton,Retail/Wholesale,11116.66,Healthcare/Life Sciences,40703.23,3.29%
D.R. Horton,DHI,539,"48,761.55",78.15,"42,122.85",3.35%,-13.61%,"48,806.45","58,454.55",19.77%,"9,648.10",90.47,"48,761.55","42,122.85",-13.61%,"-6,638.70",,9,Nike,iShares 20YR US Treasury,Real Estate,45259.83,Industrial Goods,75699.44,6.13%
FedEx,FDX,38,"10,895.72",214.84,"8,163.92",0.65%,-25.07%,"11,140.08","9,828.32",-11.78%,"-1,311.76",286.73,"10,895.72","8,163.92",-25.07%,"-2,731.80",,10,Pfizer,Walmart,Transportation/Logistics,8333.02,Real Estate,56655.83,4.59%
Aberdeen Precious Metals,GLTR,1293,"125,351.87",96.84,"125,214.12",9.97%,-0.11%,"123,494.43","115,658.85",-6.34%,"-7,835.58",96.95,"125,351.87","125,214.12",-0.11%,-137.75,,11,Hershey's,Hershey's,Commodities,111792.78,Retail/Wholesale,77552.86,6.28%
Goldman Sachs,GS,31,"11,067.70",341.19,"10,576.89",0.84%,-4.43%,"11,083.74","11,859.05",7.00%,775.31,357.02,"11,067.70","10,576.89",-4.43%,-490.81,,12,CVS,US Oil - 12 month,Financial Services,11718.93,Technology,441927.1,35.77%
Hershey's,HSY,79,"13,579.71",202.57,"16,003.03",1.27%,17.85%,"13,606.96","15,284.13",12.33%,"1,677.17",171.90,"13,579.71","16,003.03",17.85%,"2,423.32",,13,Centene,MP Materials,Consumer Goods,13370.75,Transportation/Logistics,18516.16,1.50%
IDACORP,IDA,110,"11,016.60",100.76,"11,083.60",0.88%,0.61%,"11,067.10","12,464.10",12.62%,"1,397.00",100.15,"11,016.60","11,083.60",0.61%,67.00,,14,Metlife,CVS,Utilities,11371.8,Utilities,11371.8,0.92%
Intel,INTC,197,"11,032.15",44.65,"8,796.05",0.70%,-20.27%,"11,006.39","10,145.50",-7.82%,-860.89,56.00,"11,032.15","8,796.05",-20.27%,"-2,236.10",,15,Lowe's,Pfizer,Technology,10496.16,,1235367.51,100.00%
iPath Copper,JJC,526,"11,030.22",22.43,"11,798.18",0.94%,6.96%,"11,046.00","11,750.84",6.38%,704.84,20.97,"11,030.22","11,798.18",6.96%,767.96,,16,iShares 20YR US Treasury,Virtu,Commodities,10804.04,,,
iPath Aluminum,JJU,1345,"68,707.44",69.30,"93,208.50",7.42%,35.66%,"68,379.80","79,287.75",15.95%,"10,907.95",51.08,"68,707.44","93,208.50",35.66%,"24,501.06",,17,Northern Trust,Lowe's,Commodities,80821.05,,,
JinkoSolar,JKS,1434,"58,313.90",40.66,"58,306.44",4.64%,-0.01%,"59,152.50","65,906.64",11.42%,"6,754.14",40.67,"58,313.90","58,306.44",-0.01%,-7.46,,18,J M Smucker,Metlife,Industrial Goods,65691.54,,,
