Ticker,Shares,Type
AAPL,935,Equity
AMZN,4,Equity
BABA,52,Equity
BLK,13,Equity
CAJ,470,Equity
CNC,153,Equity
CRM,46,Equity
CVS,131,Equity
DHI,539,Equity
FDX,38,Equity
GLTR,1293,Commodity
GS,31,Equity
HSY,79,Equity
IDA,110,Equity
INTC,197,Equity
JJC,526,Commodity
JJU,1345,Commodity
JKS,1434,Equity
JNJ,68,Equity
KSS,208,Equity
LMT,29,Equity
LOW,59,Equity
LUV,198,Equity
LVMUY,68,Equity
MBUU,150,Equity
MDLZ,176,Equity
MET,186,Equity
MP,349,Equity
MSFT,472,Equity
NKE,85,Equity
NNOX,362,Equity
NRZ,1036,REIT
NSRGY,87,Equity
NTRS,98,Equity
ORCL,142,Equity
PFE,280,Equity
REGI,1923,Equity
SJM,84,Equity
TCEHY,146,Equity
TLT,208,Bond
TSM,1084,Equity
USL,436,Equity
V,48,Equity
VIRT,382,Equity
WMT,171,Equity
WSBF,561,Equity
